max_date,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,deaths,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,infections,infections.hi,infections.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.hi,symptomatic.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.lo,cum.incidence.hi,index
2020-05-20,2020-04-03,11582.39547665461,16328.377369961585,8824.26794872374,1610651.3806558033,671.0184397768691,412.11755277585996,500.7798956667731,307.39862052677336,1780.206308042801,426.6695103818397,30133.93199135842,128904.0452032072,10840.292321201248,10549.046230277745,27818.384445722964,4980.70066843952,21884.659156668487,82131.79713562039,9074.29126906186,TRUE,0.7838589622476746,0.530893438114726,1.08906418972818,1.2230290831956545,1.2119150720447174,1.2342108358055786,503843.4383850533,5083123.850000134,59
2020-05-20,2020-04-04,11656.477296402301,16355.858689874525,8898.21091429075,1639559.7382540994,716.0424669850956,457.91321637034264,556.2313353911618,345.54213891531265,1889.4595987804057,466.8442723464748,28881.78975258651,120661.22817188037,10782.666071442214,10308.551728510598,26695.714072266775,4896.254307041393,20628.0174664487,77593.32472212896,8578.373886945818,TRUE,0.804856189899791,0.554095535218804,1.09995403656535,1.1739162081816963,1.1633327122273842,1.1845636997110214,512441.6835030317,5150300.557063279,60
2020-05-20,2020-04-05,11557.495977911452,16183.28255104838,8866.330210640637,1672871.3756376756,756.4080296986633,501.4226537096408,608.892483837175,379.2821983722007,1965.8104952424937,496.28927396238123,28051.04025215663,117744.44215736719,10463.803292100562,9970.869055211177,26103.78210303006,4774.8499638655185,19520.11181650425,72254.95143504396,8194.064096142916,TRUE,0.8163398919151172,0.567452201214864,1.09801019370833,1.1117196725073268,1.1016438483786481,1.121856746980773,520155.33245240396,5238338.098035518,61
2020-05-20,2020-04-06,11431.047872101715,15765.810064888128,8788.776376651771,1697769.9345588505,781.8148630314861,542.0871352208721,657.2728584677802,408.2186026161203,2027.1010708286422,526.7058762249487,27211.21809280677,115290.20975267257,9870.271434313458,9526.07246374453,25052.19120121432,4554.615573773714,18604.187555210683,70473.28114068296,7777.302429244126,TRUE,0.8282717925789327,0.57482090561777,1.12936365898889,1.0746791738555401,1.064936027489122,1.0844815667786638,526863.3372622016,5332301.83518341,62
2020-05-20,2020-04-07,11187.213626482338,15397.959183722436,8609.43429902581,1722613.654278284,804.5660148932234,577.5423755069464,702.1128733155265,431.04118625446534,2094.7633147844645,549.7108719309501,26092.47362448325,112615.80667333474,9646.121495568439,9077.427005279125,23863.321940254333,4335.6103696465425,17821.337452141102,68236.18927329933,7501.725982041833,TRUE,0.832465382328594,0.575847572861032,1.13135432707546,1.0453889395086728,1.0358888873145162,1.0549468977396048,532532.0064135847,5430495.036019732,63
2020-05-20,2020-04-08,10854.12484069245,14844.890881157211,8445.532551918479,1751675.7168281344,819.0567809845943,609.8210323607552,738.8186835531249,457.4899386821783,2146.8719304691663,567.0560485083911,25111.79290614193,109207.56184557745,9319.492435765274,8674.569578213923,22591.457418046622,4066.9730989255518,17321.706401665855,67320.42735951077,7397.052009569241,TRUE,0.8315662539071489,0.576311958452887,1.14621432365977,1.0794820827282356,1.0699016540631365,1.089119533361778,537987.0131601491,5528594.1014801515,64
2020-05-20,2020-04-09,10495.653066113759,14342.23419241973,8196.966850315912,1782537.0993884034,831.1403589796755,634.4751106030199,770.4516793623006,477.0176614339956,2139.869033007426,575.9966293313636,24180.020818725214,101529.66889486962,8949.333363039772,8204.299886558665,21297.830420729813,3847.9138122893582,16750.95218169909,66733.66269319074,6896.703802750389,TRUE,0.8242377250773363,0.559371574913206,1.15718271152923,1.0942091740237274,1.0846241529053882,1.1038504992320914,575531.0918449115,5633562.321155819,65
2020-05-20,2020-04-10,10125.935051014318,13769.323955497308,7843.723417326538,1806388.1689340756,828.5994938565027,654.2912518820408,790.6427847512448,493.5701480305498,2134.471646645449,580.3455366214457,22950.277393380376,94213.04310050185,8443.434340955306,7745.729801131247,20006.762716627505,3644.458662195044,16276.814571071423,64809.61367511164,6553.489331304663,TRUE,0.8172005201979857,0.54053657509331,1.16918966998339,1.0774103076333665,1.0679782965784437,1.086897689391408,585520.244483219,5717107.088815059,66
2020-05-20,2020-04-11,9764.277774778348,13197.003426992958,7556.8032212938215,1825933.231408862,824.4326622794397,667.0916033193052,806.7826990899196,508.52825107591417,2111.699991879084,573.2187317000141,21732.75431981239,90198.39326803251,7716.264314987575,7329.5584430927265,18886.425743567655,3442.964076602726,15682.611421233581,61721.98218079679,6364.816372914336,TRUE,0.8013833997613171,0.532029841836544,1.16604399303457,0.9706899828592362,0.9618190802916678,0.979615262992491,593162.8530424205,5801753.942403077,67
2020-05-20,2020-04-12,9365.149327916508,12656.200096963337,7243.667303536702,1846271.5863823397,813.1011417691857,673.8074042148098,815.6844036894704,514.6646216270542,2094.273454408707,563.8456514504599,20237.392518994566,87227.77562776054,7305.433744902493,6899.410111036742,17882.70601902684,3281.7480095523933,15145.72770353206,58866.78129029241,6157.340109029203,TRUE,0.7892019782487123,0.537033113679279,1.15141399549465,0.8881863384527974,0.8797462676624241,0.8966802187405727,599484.5199318745,5859318.8216093825,68
